UZU002
CUST_ID,NAME,MOBILE,ADHHAR,BANK_AC,IFSC
54,UZU002_CUST_54 ,M9374672571,A123412341004,B501000500000040000,B5010005000
55,UZU002_CUST_55 ,M9374672571,A123412341005,B501000500000050000,B5010005000
56,UZU002_CUST_56 ,M9374672571,A123412341006,B501000500000060000,B5010005000
57,UZU002_CUST_57 ,M9374672571,A123412341007,B501000500000070000,B5010005000
58,UZU002_CUST_58 ,M9374672571,A123412341008,B501000500000080000,B5010005000
59,UZU002_CUST_59 ,M9374672571,A123412341009,B501000500000090000,B5010005000
60,UZU002_CUST_60 ,M9374672571,A123412341010,B501000500000100000,B5010005000
61,UZU002_CUST_61 ,M9374672571,A123412341011,B501000500000110000,B5010005000
62,UZU002_CUST_62 ,M9374672571,A123412341012,B501000500000120000,B5010005000
63,UZU002_CUST_63 ,M9374672571,A123412341013,B501000500000130000,B5010005000
64,UZU002_CUST_64 ,M9374672571,A123412341014,B501000500000140000,B5010005000
65,UZU002_CUST_65 ,M9374672571,A123412341015,B501000500000150000,B5010005000
66,UZU002_CUST_66 ,M9374672571,A123412341016,B501000500000160000,B5010005000
67,UZU002_CUST_67 ,M9374672571,A123412341017,B501000500000170000,B5010005000
68,UZU002_CUST_68 ,M9374672571,A123412341018,B501000500000180000,B5010005000
69,UZU002_CUST_69 ,M9374672571,A123412341019,B501000500000190000,B5010005000
70,UZU002_CUST_70 ,M9374672571,A123412341020,B501000500000200000,B5010005000
71,UZU002_CUST_71 ,M9374672571,A123412341021,B501000500000210000,B5010005000
72,UZU002_CUST_72 ,M9374672571,A123412341022,B501000500000220000,B5010005000
73,UZU002_CUST_73 ,M9374672571,A123412341023,B501000500000230000,B5010005000
74,UZU002_CUST_74 ,M9374672571,A123412341024,B501000500000240000,B5010005000
75,UZU002_CUST_75 ,M9374672571,A123412341025,B501000500000250000,B5010005000
76,UZU002_CUST_76 ,M9374672571,A123412341026,B501000500000260000,B5010005000
77,UZU002_CUST_77 ,M9374672571,A123412341027,B501000500000270000,B5010005000
78,UZU002_CUST_78 ,M9374672571,A123412341028,B501000500000280000,B5010005000
79,UZU002_CUST_79 ,M9374672571,A123412341029,B501000500000290000,B5010005000
80,UZU002_CUST_80 ,M9374672571,A123412341030,B501000500000300000,B5010005000
81,UZU002_CUST_81 ,M9374672571,A123412341031,B501000500000310000,B5010005000
82,UZU002_CUST_82 ,M9374672571,A123412341032,B501000500000320000,B5010005000
83,UZU002_CUST_83 ,M9374672571,A123412341033,B501000500000330000,B5010005000
84,UZU002_CUST_84 ,M9374672571,A123412341034,B501000500000340000,B5010005000
85,UZU002_CUST_85 ,M9374672571,A123412341035,B501000500000350000,B5010005000
86,UZU002_CUST_86 ,M9374672571,A123412341036,B501000500000360000,B5010005000
87,UZU002_CUST_87 ,M9374672571,A123412341037,B501000500000370000,B5010005000
88,UZU002_CUST_88 ,M9374672571,A123412341038,B501000500000380000,B5010005000
89,UZU002_CUST_89 ,M9374672571,A123412341039,B501000500000390000,B5010005000
90,UZU002_CUST_90 ,M9374672571,A123412341040,B501000500000400000,B5010005000
91,UZU002_CUST_91 ,M9374672571,A123412341035,B501000500000350000,B5010005000
92,UZU002_CUST_92 ,M9374672571,A123412341036,B501000500000360000,B5010005000
93,UZU002_CUST_93 ,M9374672571,A123412341037,B501000500000370000,B5010005000
94,UZU002_CUST_94 ,M9374672571,A123412341038,B501000500000380000,B5010005000
95,UZU002_CUST_95 ,M9374672571,A123412341039,B501000500000390000,B5010005000
96,UZU002_CUST_96 ,M9374672571,A123412341040,B501000500000400000,B5010005000
97,UZU002_CUST_97 ,M9374672571,A123412341007,B501000500000070000,B5010005000
98,UZU002_CUST_98 ,M9374672571,A123412341008,B501000500000080000,B5010005000
99,UZU002_CUST_99 ,M9374672571,A123412341009,B501000500000090000,B5010005000
100,UZU002_CUST_100 ,M9374672571,A123412341010,B501000500000100000,B5010005000
